Algorithm,DataType,Distribution,Size,Time(s)
MergeSort,int,almost_sorted,10,0.0000
MergeSort,int,almost_sorted,100,0.0000
MergeSort,int,almost_sorted,1000,0.0010
MergeSort,int,almost_sorted,10000,0.0130
MergeSort,int,almost_sorted,100000,0.1330
MergeSort,int,almost_sorted,1000000,1.2760
MergeSort,int,half_sorted,10,0.0000
MergeSort,int,half_sorted,100,0.0010
MergeSort,int,half_sorted,1000,0.0000
MergeSort,int,half_sorted,10000,0.0120
MergeSort,int,half_sorted,100000,0.1290
MergeSort,int,half_sorted,1000000,1.3140
MergeSort,int,flat,10,0.0000
MergeSort,int,flat,100,0.0000
MergeSort,int,flat,1000,0.0000
MergeSort,int,flat,10000,0.0110
MergeSort,int,flat,100000,0.1400
MergeSort,int,flat,1000000,1.2730
MergeSort,float,random,10,0.0000
MergeSort,float,random,100,0.0000
MergeSort,float,random,1000,0.0010
MergeSort,float,random,10000,0.0150
MergeSort,float,random,100000,0.1360
MergeSort,float,random,1000000,1.3810
MergeSort,float,sorted,10,0.0000
MergeSort,float,sorted,100,0.0020
MergeSort,float,sorted,1000,0.0010
MergeSort,float,sorted,10000,0.0170
MergeSort,float,sorted,100000,0.1310
MergeSort,float,sorted,1000000,1.2590
MergeSort,float,reverse,10,0.0000
MergeSort,float,reverse,100,0.0000
MergeSort,float,reverse,1000,0.0020
MergeSort,float,reverse,10000,0.0120
MergeSort,float,reverse,100000,0.1310
MergeSort,float,reverse,1000000,1.2800
MergeSort,float,almost_sorted,10,0.0000
MergeSort,float,almost_sorted,100,0.0000
MergeSort,float,almost_sorted,1000,0.0000
MergeSort,float,almost_sorted,10000,0.0110
MergeSort,float,almost_sorted,100000,0.1270
MergeSort,float,almost_sorted,1000000,1.2800
MergeSort,float,half_sorted,10,0.0000
MergeSort,float,half_sorted,100,0.0000
MergeSort,float,half_sorted,1000,0.0010
MergeSort,float,half_sorted,10000,0.0120
MergeSort,float,half_sorted,100000,0.1340
MergeSort,float,half_sorted,1000000,1.3090
MergeSort,float,flat,10,0.0000
MergeSort,float,flat,100,0.0000
MergeSort,float,flat,1000,0.0010
MergeSort,float,flat,10000,0.0110
MergeSort,float,flat,100000,0.1270
MergeSort,float,flat,1000000,1.2680
MergeSort,string,random,10,0.0000
MergeSort,string,random,100,0.0000
MergeSort,string,random,1000,0.0010
MergeSort,string,random,10000,0.0180
MergeSort,string,random,100000,0.1880
MergeSort,string,random,1000000,2.5360
MergeSort,string,sorted,10,0.0000
MergeSort,string,sorted,100,0.0000
MergeSort,string,sorted,1000,0.0010
MergeSort,string,sorted,10000,0.0140
MergeSort,string,sorted,100000,0.1890
MergeSort,string,sorted,1000000,2.3590
MergeSort,string,reverse,10,0.0000
MergeSort,string,reverse,100,0.0000
MergeSort,string,reverse,1000,0.0010
MergeSort,string,reverse,10000,0.0160
MergeSort,string,reverse,100000,0.1970
MergeSort,string,reverse,1000000,2.5620
MergeSort,string,almost_sorted,10,0.0000
MergeSort,string,almost_sorted,100,0.0000
MergeSort,string,almost_sorted,1000,0.0000
